,story_author,story_title,story_link,publication_title,publication_link
0,Harlan Ellison,"""""Repent, Harlequin!"" Said the Ticktockman""",http://www.isfdb.org/cgi-bin/title.cgi?41692+1,"I Have No Mouth, and I Must Scream",http://www.isfdb.org/cgi-bin/pl.cgi?362974
1,Harlan Ellison,"""A Boy and His Dog""",http://www.isfdb.org/cgi-bin/title.cgi?41588+1,"I Have No Mouth, and I Must Scream",http://www.isfdb.org/cgi-bin/pl.cgi?362974
2,Stanley G. Weinbaum,"""A Martian Odyssey""",http://www.isfdb.org/cgi-bin/title.cgi?41168+1,Collected Public Domain Works of Stanley G. Weinbaum,http://www.isfdb.org/cgi-bin/pl.cgi?294697
3,Roger Zelazny,"""A Rose for Ecclesiastes""",http://www.isfdb.org/cgi-bin/title.cgi?40981+1,"Escape Pod, EP437",http://www.isfdb.org/cgi-bin/pl.cgi?439756
4,Robert A. Heinlein,"""All You Zombies—""",http://www.isfdb.org/cgi-bin/title.cgi?58494+1,"Escape Pod, EP200",http://www.isfdb.org/cgi-bin/pl.cgi?293313
5,Fredric Brown,"""Arena""",http://www.isfdb.org/cgi-bin/title.cgi?41651+1,"Escape Pod, EP423",http://www.isfdb.org/cgi-bin/pl.cgi?433907
6,Connie Willis,"""At the Rialto""",http://www.isfdb.org/cgi-bin/title.cgi?41639+1,"Escape Pod, #600",http://www.isfdb.org/cgi-bin/pl.cgi?639078
7,Terry Bisson,"""Bears Discover Fire""",http://www.isfdb.org/cgi-bin/title.cgi?41626+1,The Greatest Science Fiction Stories of the 20th Century,http://www.isfdb.org/cgi-bin/pl.cgi?365006
8,Terry Bisson,"""Bears Discover Fire""",http://www.isfdb.org/cgi-bin/title.cgi?41626+1,"StarShipSofa, No 25",http://www.isfdb.org/cgi-bin/pl.cgi?620104
9,Terry Bisson,"""Bears Discover Fire""",http://www.isfdb.org/cgi-bin/title.cgi?41626+1,"The Drabblecast, #230",http://www.isfdb.org/cgi-bin/pl.cgi?399393
10,Terry Bisson,"""Bears Discover Fire""",http://www.isfdb.org/cgi-bin/title.cgi?41626+1,"Lightspeed Podcast, January 2014",http://www.isfdb.org/cgi-bin/pl.cgi?437453
